"Origin","Proverb"
"Afghan","Learning makes some into Mullahs and some into devils."
"Afghan","Let Christians practice their own religion, and Jews practice theirs."
"Afghan","Not to be considered queer conform to the crowd."
"Afghan","Man sins... then blames it on the devil."
"Afghan","One who doesn't appreciate the apple, won't appreciate the orchard."
"Afghan","May Kabul be without gold rather without snow."
"Afghan","My drum doesn't do what I want it to."
"Afghan","No deceit, no merchant."
"Afghan","No one says his own buttermilk is sour."
"Afghan","No rose is without thorns."
"Afghan","The world is the traveler's inn."
"Afghan","Not even the five fingers of our hands are alike."
"Afghan","The rose is a friend of the thorn."
"Afghan","On earth it's hard and heaven is far away."
"Afghan","One flower does not bring spring."
"Afghan","One flower doesn't bring spring."
"Afghan","One gives by tons, but takes accounts by ounces."
"Afghan","Look after your property, and you won't accuse your neighbour of being a thief."
"Afghan","When you enjoy loving your neighbor, it ceases to be a virtue."
"Afghan","The ungrateful son is like a wart on his father's face; to leave it there is unsightly, to cut it off is painful."
"Afghan","Wealth belongs to the person who enjoys it and not to the one who keeps it."
"Afghan","What my heart desired didn't happen; what God wanted was really done."
"Afghan","What you see in yourself is what you see in the world."
"Afghan","What you sow, shall you reap."
"Afghan","What you spend, you have."
"Afghan","What's a trumpeter's job? To blow."
"Afghan","Whatever you sow, you reap."
"Afghan","When an ant says 'ocean', he's talking about a puddle."
"Afghan","When God gives, He doesn't ask whose son a person is."
"Afghan","When the hen gets fat, she stops lying."
"Afghan","When the tiger kills, the jackal profits."
"Afghan","Walls have mice and mice have ears."
"Afghan","When water goes over your head, what difference if it's one fathom or a hundred fathoms."
"Afghan","Vinegar that is free, is sweeter than honey."
"Afghan","Where the heart would go, there follows the foot."
"Afghan","While the butchers were arguing, the cow dropped dead."
"Afghan","Whosoever eats bread without first washing his hands, it is as though he had sinned with a harlot."
"Afghan","Without a green switch the ox and the donkey won't obey."
"Afghan","Without investigating the water, don't take off your shoes."
"Afghan","You can beat anyone if you have a golden slipper."
"Afghan","You can use salt to prevent meat from rotting, but what will you use to prevent salt from rotting?"
"Afghan","You can't clap with one hand."
"Afghan","You can't flee your lot nor share it with another."
"Afghan","You stored your milk in a straining metal... and now you are complaining about bad luck?"
"Afghan","You talk sweet like the bulbul bird."
"Afghan","Your aspirations are in heaven, but your brains are in your feet."
"Afghan","When the wine is free even the judge drinks it."
"Afghan","There is a path to the top of highest mountain."
"Afghan","The skin fits closer than the shirt."
"Afghan","The sun cannot be hidden by two fingers."
"Afghan","The tree will not sway without a trace of wind."
"Afghan","The ungrateful son is a wart on his father's face; to leave it is a blemish, to cut it off is pain."
"Afghan","If you sit with us, you will get like us; if you sit beside a cooking pot, you will get black."
"Afghan","The wood is burnt, but the ashes are a nuisance."
"Afghan","The night may be dark, but the apples have been counted."
"Afghan","The world lives on hope."
"Afghan","The world will not find rest by just saying ""peace."""
"Afghan","The yellow dog is brother to the wolf."
"Afghan","There are no greater prudes than those women who have their own dirty secrets to hide."
"Afghan","There are twenty-five uncaught sparrows for a penny."
"Afghan","Walls have mice, mice [have] ears."
"Afghan","There is a path to the top of even the highest mountain."
"Afghan","The seeker is the finder."
"Afghan","There is a way from heart to heart."
"Afghan","They asked the fox, ""Who is your witness?"" He said, ""My tail."""
"Afghan","Though God is almighty, he doesn't send rain from a clear sky."
"Afghan","To speak ill of anyone is to speak ill of yourself."
"Afghan","Too many butchers spoil the cow."
"Afghan","Try out your shoes on your feet -- gauge people against their misfortune."
"Afghan","Two are better than one, and three than two."
"Afghan","Two watermelons can't be grabbed in one hand."
"Afghan","Two watermelons can't be held in one hand."
"Afghan","Under his bowl there is a little bowl."
"Afghan","Unfortunates learn from their own mistakes, and the lucky ones learn from other's mistakes."
"Afghan","Unless God does it, what can a doctor do?"
"Afghan","There is a doorway that connects two hearts."
"Afghan","As long as there is no wind, the tree won't blow."
"Afghan","Debt severs love."
"Afghan","A tree doesn't move unless there is wind."
"Afghan","A wanton eye is the messenger of a lusting heart."
"Afghan","A warm fire is better than any delicious food."
"Afghan","A warm fire is better than delicious cooked rice."
"Afghan","A wise enemy is better than a foolish friend."
"Afghan","A wolf's pup will grow into a wolf even though it be raised among men."
"Afghan","A wound will heal. Talk won't."
"Afghan","After every darkness is light."
"Afghan","Allah has said, ""Start moving so that I may start blessing."""
"Afghan","An intelligent enemy rather than a foolish friend."
"Afghan","An old friend is like a saddled horse."
"Afghan","A tilted load won't reach its destination."
"Afghan","As long as there are fools in the world, no one will be penniless."
"Afghan","A sandal is not a shoe; a cap is not a turban."
"Afghan","As the sun's shadow shifts, so there is no permanence on earth."
"Afghan","Ask the truth from a child."
"Afghan","Be patient with your enemies and forgiving of your friends."
"Afghan","Being clean is the half of faith."
"Afghan","between brother and brother, accounts should be square."
"Afghan","Blood cannot be washed out with blood."
"Afghan","Blood is thick than water."
"Afghan","Blood will have blood."
"Afghan","Blood will tell."
"Afghan","Bloom where you are planted."
"Afghan","Cats don't catch mice to please God."
"Afghan","Community is not made by force."
"Afghan","As long as the beard exists, the world clenches its fists. As long as the pakul hat exists, the world stutters in fits."
"Afghan","A liar is forgetful."
"Afghan","The potter drinks water from a broken jug."
"Afghan","If you don't recognize God, at least know Him by His power."
"Afghan","A bad wound heals, but a bad word doesn't."
"Afghan","A bird only flies as high as his wings take him."
"Afghan","A broken hand can work but a broken heart can't."
"Afghan","A cheap thing doesn't lack defect, nor an expensive thing quality."
"Afghan","A donkey has two friends: his two hind legs."
"Afghan","A drunken donkey will not remember the monkeys bite."
"Afghan","A fish with teeth tastes the same as fish without."
"Afghan","A fox is in trouble because of his own pelt."
"Afghan","A frog hopped onto a wall and cried, 'I can see Kashmir!'"
"Afghan","A good year is determined by its spring."
"Afghan","A tree does not move unless there is wind."
"Afghan","A leopard's spots: or, what is bred in the babe will come out in the flesh."
"Afghan","A stick for the nobody, a hint for the nobleman."
"Afghan","A lion at home, and a fox abroad."
"Afghan","A little water is a sea to an ant."
"Afghan","A mother and daughter fought, and fool thought they meant it."
"Afghan","A mother won't give milk to her child until he cries."
"Afghan","A mountain doesn't reach out to mountain, a man is reaching out to a man."
"Afghan","A new servant can catch a running deer."
"Afghan","A palm tree growing in the shade will not bear ripe fruit."
"Afghan","A porcupine speaking to its baby says, ""O my child of velvet."""
"Afghan","A real friend is one who takes the hand of his friend in times of distress and helplessness."
"Afghan","A real friend takes the hand of his friend in overwhelming worry and fire."
"Afghan","A river is made drop by drop."
"Afghan","A river is not cntaminated by having a dog drink from it."
"Afghan","A lame crab walks straight."
"Afghan","He who goes to the blacksmith's shop comes home with scorched clothes."
"Afghan","Glory is fitting to God alone."
"Afghan","Go out from your village: don't let your village go out form you."
"Afghan","God has said, ""Start moving so that I may start blessing."""
"Afghan","God isn't in need of our prayers."
"Afghan","God said, ""Eat and drink,"" but He didn't say, ""Gorge to the full."""
"Afghan","Good perfume is known by its scent rather than by the perfumer's advertisement."
"Afghan","Grumbling and carping are the muscles of the weak."
"Afghan","Hasty work doesn't succeed."
"Afghan","Having been bitten by a snake, he's afraid of a rope."
"Afghan","He appreciates prosperity who is caught in calamity."
"Afghan","He hasn't time even to scratch his head."
"Afghan","He ran out from under a leaking roof and sat in the rain."
"Afghan","Give graciously -- even an onion."
"Afghan","He saved his ears, but lost his head."
"Afghan","He has soaked a hundred heads, but hasn't shaved one."
"Afghan","Hearing is never as good as seeing."
"Afghan","Heaven is dark and yet out of it streams clear water."
"Afghan","Heed the troubadour, burn the dinner."
"Afghan","However tall the mountain is, there's a road to the top of it."
"Afghan","I have never seen anyone go astray who followed along the right way."
"Afghan","I'm talking to the door, but I want the walls to hear me."
"Afghan","If a forest catches fire, both the dry and the wet will burn up."
"Afghan","If the master gnaws bones, what will he give the dog?"
"Afghan","Don't be a thief and won't fear the king."
"Afghan","A river is not contaminated by having a dog drink from it."
"Afghan","If there is only bread and onions, still have a happy face."
"Afghan","If you deal in camels, make the doors high."
"Afghan","He reckons his importance by the elephant-load."
"Afghan","Even the largest army is nothing without a good general."
"Afghan","Don't be a thief and you won't fear the king."
"Afghan","He is riding the donkey, but has lost the donkey."
"Afghan","Give every man his due."
"Afghan","Don't show me the palm-tree, show me the dates."
"Afghan","Don't sprinkle salt on my wound."
"Afghan","Don't stop a donkey that isn't yours."
"Afghan","Don't use your teeth when you can untie the knot with your fingers."
"Afghan","Donated vinegar is sweeter than honey."
"Afghan","Even if a knife is made of gold, a person won't stab his own heart with it."
"Afghan","Even the Judge was drunk when the wine was free."
"Afghan","Don't show me the palm tree, show me the dates."
"Afghan","Every anguish passes except the anguish of hunger."
"Afghan","Every dog is a lion at home."
"Afghan","Every man thinks his own thoughts are best."
"Afghan","First food, then religion."
"Afghan","Give even an onion graciously."
"Afghan","Even if a knife is made of silver, a person won't stab his own heart with it."
"Afghan","Every rock strikes the feet of the poor."
"Afghan","Flourish like a flower, but may your life be longer."
"Afghan","Five fingers are brothers but are not equals."
"Afghan","Forget the past, but look out in the future."
"Afghan","Fire, fire's better than rice."
"Afghan","Fear the worse."
"Afghan","Fear the person who doesn't fear God."
"Afghan","Everyone thinks his own thoughts are best."
"Afghan","Every tree feels the force of the wind."
"Afghan","Five of them would run from the bang of one empty gun."
"Afghan","The tree will not sway without a trace of wind."
"Afghan","If you want to keep camels, have a big enough door."
"Afghan","In an ant colony dew is a flood."
"Afghan","It's the same donkey, but with a new saddle."
"Afghan","No one says his own buttermilk is sour."
"Afghan","Only stretch your foot to the length of your blanket."
"Afghan","Storing milk in a sieve, you complain of bad luck?"
"Afghan","The mud of one country is the medicine of another."
"Afghan","If you deal in camels, make the doors high."
"Afghan","The seeker is the finder."
"Afghan","Under his bowl there is a little bowl."
"Afghan","The wood is burnt, but the ashes are a nuisance."
"Afghan","There are twenty-five uncaught sparrows for a penny."
"Afghan","Two watermelons can't be held in one hand."
"Afghan","What you spend, you have."
"Afghan","A lame crab walks straight."
"Afghan","The right answer to a fool is silence."
"Afghan","A river is not contaminated by having a dog drink from it."
"Afghan","When the tiger kills, the jackal profits."
"Afghan","If a forest catches fire, both the dry and the wet will burn up."
"Afghan","A little water is a sea to an ant."
"Afghan","A porcupine speaking to its baby says, ""O my child of velvet."""
"Afghan","Allah has said, ""Start moving so that I may start blessing."""
"Afghan","Blood cannot be washed out with blood."
"Afghan","Blood is thick than water."
"Afghan","Blood will have blood."
"Afghan","Blood will tell."
"Afghan","Five of them would run from the bang of one empty gun."
"Afghan","Give every man his due."
"Afghan","Bloom where you are planted."
"Afghan","Having been bitten by a snake, he's afraid of a rope."
"Afghan","Give even an onion graciously."
"Afghan","Five fingers are brothers but not equals."
"Afghan","Don't show me the palm tree, show me the dates."
"Afghan","Don't be a thief and you won't fear the king."
"Afghan","Debt severs love."
"African","The buffalo does not wander from the marsh where it was born."
"African","The calf is not afraid of the mother's horns."
"African","The buffalo's shit is dry on top when inside its wet."
"African","The bubbling flames are not fire."
"African","The bravery of a lion doesn't protect it from the spear of a hunter."
"African","The buried do not give birth."
"African","The buttocks are like a married couple though there is constant friction between them; they will still love and live together."
"African","The camel and his driver -- each has his own plan."
"African","The cheapest way to win a person is by a smile."
"African","The canary that dances along the bush path must have its drummer in the nearby bush."
"African","The cheapest way to improve your looks is to wear a smile."
"African","The brave man is not he who doesn't feel afraid, but he who conquers that fear."
"African","The ceiling won't stay when the room is no longer there."
"African","The cat may look like a lion, but that does not make it a lion."
"African","The cat and the mouse can't be neighbors for long."
"African","The best way to catch a bird is not by scaring it away."
"African","The best dancer comes from the sitting lounge."
"African","The best mirror of all is an old friend."
"African","The drum is the favourite instrument of the spirits."
"African","The chicken is never declared in the court of hawks."
"African","The best morsels are never given to a beggar."
"African","The bee that carries honey in its mouth carries a sting in its tail."
"African","The best of mankind is a farmer; the best food is fruit."
"African","The beauty of a woman becomes useless if there is no one to admire it."
"African","The blind man would like to show the way to others."
"African","The best way to eat the elephant standing in your path is to cut it up into little pieces."
"African","The bird is up in the sky but its eyes are on the ground."
"African","The bird, which flaps its wings too much, will drop its feathers."
"African","The bitter heart eats its owner."
"African","The black cow doesn't give black milk."
"African","The blight ness of the moon can only be experienced in total darkness."
"African","The best preparation for tomorrow is to make sure today's work is superbly done."
"African","The dog never minds not to laugh."
"African","The downfall of a man is not the end of his life."
"African","The dead are among us."
"African","The dead are not seen in the company of the living."
"African","The dead man doesn't know the value of his coffin."
"African","The death of a man doesn't make his wives men."
"African","The day does not return."
"African","The dog never forgets its owner."
"African","The darkest hour is before dawn."
"African","The downfall of man begins with pride."
"African","The earth is a beehive, we all enter by the same door."
"African","The axe forgets; the tree remembers."
"African","She who gives birth to triplets cannot ask for a third breast."
"African","The egg shows the hen where to hatch."
"African","The earth is a beehive; we all enter by the same door but live in different cells."
"African","The difference between genius and stupidity is that genius has its limits."
"African","The corpse of a bird does not decompose in flight, but on the ground."
"African","The chicken that sits along the road to eat shall never enjoy a good meal."
"African","The child hates the one who gives him all he wants."
"African","The cock belongs to one household, but when it crows it is heard in the whole village."
"African","The cock that loses its pace time of cockadoodle should be dressed otherwise it will misguide you."
"African","The cockroach cannot be innocent in a court where the hen is judge."
"African","The day the monkey is destined to die, all the trees get slippery."
"African","The coffin seller wants a long life for himself and a short life for others."
"African","The chicken that digs for food will not sleep hungry."
"African","The country rooster dows not crow in the town."
"African","The cow engenders the man."
"African","The cow with no tail can only depend on goats to rid himself of flies."
"African","The cricket cries, the year changes."
"African","The cultivator is alone, but those who eat are many."
"African","The danger that threatens the hunting dog, threatens the hunter too."
"African","The cocks that cockadoodle were once eggs."
"African","Sometimes the face can tell what the lips can't say."
"African","Success in life largely depends on how you handle your failures."
"African","Some birds are not meant to be caged there feathers are to blight and there meant to fly."
"African","Someone who doesn't listen to others deserves not to be listened too."
"African","Someone who wants everything looses everything."
"African","Something that doesn't talk how does it refuse."
"African","Society is like a pot it can't carry water when its broken."
"African","Sometimes a lie is kinder than a truth."
"African","Snake at your feet - a stick at your hand !"
"African","Sometimes the spirits speaks for you and sometimes the spirits makes you speak."
"African","Sometimes you need to die in order to live again."
"African","Sorrow is like a precious treasure, shown only to friends."
"African","Sorrow may sadden your face but it sharpens your understanding."
"African","Stronger than an army is a quotation whose time has come."
"African","Silence brings wisdom of the ancestors."
"African","Something you think that is nice when you get into contact with it, it seizes to be nice."
"African","Silence cannot be misquoted."
"African","The power of a leopard resides in its claws."
"African","The eggshell cannot be a mother of its resultant offspring."
"African","Shall we kill a snake and carry it in our hand when we have a bag for putting long things in?"
"African","Several repeated visits to the mud pit enable the wasp to build its house."
"African","Shame to the house where the hen crows and the cock is silent."
"African","Soldiers don't cry."
"African","She who grinds millet should have wisdom about rainy clouds and winds."
"African","Success is a ladder which cannot be climbed with hands in your pocket."
"African","Silence gives rise to peace and with peace comes security."
"African","Slashing isn't digging nor is digging called sowing."
"African","Sleep is the cousin of death."
"African","Small matters breed important ones."
"African","Smile... heaven is watching."
"African","Smooth seas do not make skillful sailors."
"African","She is beautiful; she has love, understands; she respects herself and others; everyone likes, loves and honours her; she is a goddess."
"African","The animal hide can best be straightened and smoothened when still fresh."
"African","Students are the only consumers who do not want what they pay for."
"African","That which is deadly may have a sweet scent."
"African","That which is exceptionally good is a forerunner of something bad."
"African","That you don't give birth too, you let him or her carry a stone on the head."
"African","That you eat in the morning passes you through the day."
"African","That which got bent while growing when you straighten it, it breaks."
"African","The ancestors may annoy you but don't make a mistake of annoying them back, they may annoy you forever."
"African","That what comes to stay has come it cannot return."
"African","The animal that escapes the hunter's spear is only allowed to go."
"African","The ant that destroys a kola nut lives inside it."
"African","The antics of a market buffoon provide laughter, but nobody prays that his child becomes the market buffoon."
"African","The arrow that missed the head of its target will never hit the tail."
"African","The attacks of a wild beast cannot be averted with only bare hands."
"African","The ax forgets but the cut log does not."
"African","The always-hurrying person eats goat, but the one who takes his time eats beef."
"African","Teaching a monkey to eat with a fork and knife will never make it a man."
"African","Sudden frightening occurrence knows no brave person."
"African","Sunshine always follows a dark night."
"African","Sweet and sour walk hand in hand."
"African","Sweetness attracts more flies than sourness."
"African","Take what you need and leave our land the way you found it."
"African","That which is about to die doesn't hear the drum beating."
"African","Talking with one another is loving one another."
"African","The axe forgets. The tree remembers."
"African","Tears cannot bring you joy but joy can bring you tears."
"African","Tears never flow in the house of a coward."
"African","Tears will not stop flowing for someone who is crying for himself."
"African","Teenagers act like babies if they are not treated like adults."
"African","Teeth are all friends among each other."
"African","Tell your friend a lie, if he keeps it secret, then tell him the truth."
"African","Talking is cheap until you hire a lawyer to do it for you."
"African","The mouth does not eat if the feet do not walk and the hands work."
"African","The mouth which eats does not talk."
"African","The moon lightens well but leaves certain areas in the dark."
"African","The moon moves slowly, but it crosses the town."
"African","The more intimate the friendship the deadlier the enmity."
"African","The more mistakes you make the fewer mistakes there left to make."
"African","The monkey and gorilla may claim kinship, but the monkey is a monkey and the gorilla is a gorilla."
"African","The mouse says: I dig a hole without a hoe; the snake says: climb a tree without arms."
"African","The miserly man is like a fattened ox: he will give of his fat only when he has been deprived of his life."
"African","The mouth does not forget what it tasted only one time."
"African","The mouth does not know limitations of its master."
"African","The mouth is stupid after eating it forgets who gave it the food."
"African","The mouth of an elderly man is without teeth, but never without words of wisdom."
"African","The mouth that eats should not talk, for it risks swallowing a fly."
"African","The land is never devoid of counselors."
"African","The most horrible sight on earth cannot put out the eye."
"African","The lion does not turn around when a small dog barks."
"African","The persons we eat with are the ones to kills us."
"African","The laughter of a child is the light of a house."
"African","The length of the rope determines the movement of the goat."
"African","The leopard does not sleep on a dry branch."
"African","The leopard that covers its black spots with hamaton dust solution will truly be exposed when the rain season comes."
"African","The monkey is a good boxer, but his hands are short."
"African","The light of a thousand stars doesn't equal the light of the moon."
"African","The nail that sticks out is the one that gets hammered down."
"African","The lion may be king of the jungle but he knows, he shouldn't stand in the way of the elephant."
"African","The lizard that jumped from the high iroko tree to the ground said he would praise himself if no one else did."
"African","The madman, who throws a stone into a crowded market, forgets that his own mother could be hit by his madness."
"African","The man who counts the bits of food he swallows is never satisfied."
"African","The man, who eats alone, dies alone."
"African","The mind of a fool is like a broken pot it will hold no wisdom."
"African","The life of a groundnut lies between two shells."
"African","The person you put on your back is one who bites you."
"African","The mouth that speaks a lot is liable to hunt a friend."
"African","The partridge loves peas, but not those that go into the pot with it."
"African","The path is made by walking."
"African","The path leads towards loved ones not thorns."
"African","The person who guards himself will not be destroyed."
"African","The opinion of the intelligent is better than the certainty of the ignorant."
"African","The person you know during daytime should also be recognisable during night time."
"African","The one you minimise could be eating meat everyday."
"African","Send a boy where he wants to go and you see his best pace."
"African","The plant God favors will grow even without rain."
"African","No matter how many house chores you complete, there are always more to be done."
"African","The predator lands on an unknown tree."
"African","The problem with the palace attendant isn't how to steal the king's drums but where to play them from."
"African","The quarrel of the sheep doesn't concern the goats."
"African","The person who is coming from the bowels of the earth doesn't despise even the smallest amount of sunshine."
"African","The one who is not wrestling says throw him down and we go."
"African","The naked truth is always better than the best-dressed lie."
"African","The new moon cannot come until the other has gone."
"African","The noise produced by frogs in the well can't stop an elephant from drinking."
"African","The okra plant doesn't grow taller than its planter."
"African","The old lady feels uneasy when dry bones are mentioned in a proverb."
"African","The palm-wine we drink, some people can drink it and remain wise; others lose all their senses."
"African","The one who hasn't strength to pound yams pretends to drive away flies from the yams."
"African","The kola nut stays longer in the mouths of those who value it."
"African","The one who knows the way to the cemetery carries the tail end of the coffin."
"African","The one who shows off himself in every place will one day search for Where to hide."
"African","The one who sleeps in his room knows where it is leaking."
"African","The one who went to the in-laws got trapped in a thorn tree."
"African","The one who wrestles with a big man will soon wear himself out."
"African","The one whose foot you heal kicks you with it."
"African","The one chased away with a stick comes back and the one chassed away with reason doesn't come back."
"African","The fruits of a tree on the roadside are never eaten ripe."
"African","The grave only calls those death loves."
"African","The fool sucks wisdom, as he porter sups, And cobblers grow fine speakers in their cups."
"African","The forest not only hides man's enemies but its full of man's medicine, healing power and food."
"African","The fox must be chased away first after that the hen might be warned against wandering into the bush."
"African","The friends of our friends are our friends."
"African","The fool is thirsty in the midst of water."
"African","The frowning face of a goat doesn't prevent it being taken to market."
"African","The fly had life even before the dog had its wounds."
"African","The fuel in the lamp consumes itself but lights others."
"African","The ghosts gossip among each other."
"African","The goat eats where it's tethered."
"African","The gourd that never leaves the boozing centre attains cracks."
"African","The gourd's neck cannot be straightened in it's old age, it can only be broken."
"African","The last partridge will take the most arrows."
"African","The frog likes water but not when it's boiling."
"African","The eye looking at the sun will not need an adviser before it blinks."
"African","The elephant never gets tired of carrying its tusks."
"African","The end of an ox is beef, and the end of a lie is grief."
"African","The evil everyone does lives after him or her."
"African","The eye cannot bear loads yet it can tell heavy objects from light ones."
"African","The eye envies, not the ear."
"African","The fool speaks, the wise man listens."
"African","The eye is not harmed by sleep."
"African","The great tree chooses where to grow and we find it there, so it is with the greatness in men."
"African","The eye of a snake is big but no one can put is finger on it."
"African","The eyes that beheld the chief don't fear for a court official."
"African","The eyes that have seen the ocean cannot be satisfied by a mere lagoon."
"African","The fall of a dead leaf is a warning to the green ones."
"African","The fish starts to rot from the head."
"African","The fish that dirties the water will forever swim in dirty water."
"African","The eye is a coward."
"African","The hyena chasing two gazelles at the same will go to bed hungry."
"African","The grass may be greener on the other side, but it is just as difficult to cut."
"African","The hottest music and dance always comes from home."
"African","The house of the heart is never full."
"African","The house rat who goes swimming with his friend the lizard will die from cold."
"African","The house roof fights the rain, but the person who is sheltered ignores it."
"African","The horns cannot be too heavy for the cow that bears them."
"African","The hunter who is tracking an elephant does not stop to throw stones at birds."
"African","The homeowner doesn't eat a little."
"African","The hyena sleeps with the sheep."
"African","The insect that eats the leaf is under the leaf."
"African","The key that opens is also the key that locks."
"African","The key that unlocks is also the key that locks. Honor a child, and he will honor you."
"African","The kite in the skies doesn't feed on clouds."
"African","The knife that has been lent, never comes back alone."
"African","The hunter in pursuit of an elephant does not stop to throw stones at birds."
"African","The happy man rises with the sun."
"African","The greatest crime in a desert is to find water and keep silent about it."
"African","The greatest of all faults is to be conscious of none."
"African","The greatest truth is the simplest one."
"African","The greatness of man's male organ don't call it an hydro cell."
"African","The grindstones can neither be used as a stool nor a headrest."
"African","The horse never refuses a homeward gallop."
"African","The hand that tied the lion knows best how to untie it."
"African","The elephant dies, but his tusks remain."
"African","The heart doesn't wear rags."
"African","The heart of man and the bottom of the sea are unfathomable."
"African","The heart of the wise man lies quiet like limpid water."
"African","The hen doesn't have breasts, but she can still feed her chicks."
"African","The hen knows that dawn has arrived but it leaves the duty of crowing to the cock."
"African","The hollow of the ear is never full."
"African","The hand assists the foot, but the foot cannot do the same."
"African","Music speaks louder than words."
"African","Never lose heart because whatever is hot must in the end turn cold."
"African","Monkeys don't advise there young ones to be careful on trees they just remind them of the distance to the ground."
"African","Morning is the start of a day's work."
"African","Move like a chameleon, look in front, and watch behind."
"African","Move your neck according to the music."
"African","Money is like the waters of a sailing river it flows away."
"African","Music and women should not be dated."
"African","Money can even corrupt the virtuous."
"African","Negotiate with your enemy whilst you are a strong and formidable force, and he will always fear and respect you, but negotiate at the brink of defeat, and he will trample you down."
"African","Never blame a messenger."
"African","Never dump your old pot just because you have bought a new one."
"African","Never insult your enemy while you're laying down unless there is someone else standing by."
"African","Never let a friend lie in your sheep farm he might get hungry."
"African","Maize grows well where people have no teeth."
"African","Moving water makes stagnant water move."
"African","Marriage is a snake to slip into your handbag."
"African","No matter how long the night is, the morning is sure to come."
"African","Man is like palm-wine: when young, sweet but without strength; in old age, strong but harsh."
"African","Man is like palm-wine: when young, sweet but without strength; in old age, strong but harsh."
"African","Man's goodness is a flame that can be hidden but never extinguished."
"African","Man's greatest battles are the ones he fights within himself."
"African","Money is sharper than a sword."
"African","Many rats never drill holes."
"African","Never mock a fowl with raffled feathers it might have won a fight."
"African","Men die but words live on."
"African","Men fall only in order to rise."
"African","Migration is a sign of protect."
"African","Milestone cornmeal unites families."
"African","Milk and honey have different colours, but they share the same house peacefully."
"African","Minds are like parachutes; they only function when they are open."
"African","Many hens may be in love with one cock, but none will be jealous of the other."
"African","No matter how huge a hook may be it cannot catch fish in a river."
"African","Never let a handshake pass the elbow."
"African","No matter how fast a man can run, he can never chase his shadow and catch it."
"African","No matter how full the river, it still wants to grow."
"African","No matter how good a hunting dog is it cannot kill a leopard."
"African","No matter how high the bird flies, a hunter sets is trap on the ground."
"African","No matter how far you are from your house, you will keep going until you get home."
"African","No matter how hot your anger may be it cannot cook."
"African","No matter how close the ear is to the eye they can't see each other."
"African","No matter how hungry the vulture, it will never eat grass."
"African","No matter how kind a man might be he cannot accept to share his wife."
"African","No matter how long a bird lives in a cage, it will always want to escape."
"African","No matter how long a fallen tree stays in the river it can never be a crocodile."
"African","No matter how long a stick may stay in a river, it will never change into fish."
"African","No matter how much milk a cow has, you cannot milk butter from it."
"African","No matter how high the vulture may choose to soar, the eagle will remain king of the sky."
"African","No man can outwit the ancestors."
"African","Never travel with a friend who disserts you at the notice of danger."
"African","Never underestimate the power of stupid people in large groups."
"African","News does not sleep on the way."
"African","Nicknames are the hardest stones the devil can throw at a man."
"African","No chicken will fall into the fire a second time."
