ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
100128,"who wrote the opera ""don giovanni (don juan)""(full name)",wolfgang amadeus mozart,,,,,,,,,
100129,how often are brain cells replaced,never,,,,,,,,,
100130,what country measures road distances in versts,russia,,,,,,,,,
100131,where is soweto,south africa,,,,,,,,,
100132,what city is served by dulles airport,washington dc,,,,,,,,,
100133,who was the first woman to swim the english channel in both directions,florence chadwick,,,,,,,,,
100134,"in common: chinook, kiowa, huey, labrador, sea king",helicopters,,,,,,,,,
100135,in what country would you find the city of tombouctou,mali,,,,,,,,,
100136,"what vodka brand brags that it is ""what friends are worth""",smirnoff,,,,,,,,,
100137,where is kruger national park,south africa,,,,,,,,,
100138,what label does triumph record on in canada,attic,,,,,,,,,
100139,"what was the ""six million dollar man's"" character's name",steve austin,,,,,,,,,
100140,"what us state is named after the iroquois word for ""fine or good river""",ohio,,,,,,,,,
100141,mlb: how many division titles have the expos won (up to 1993),one,1,,,,,,,,
100142,"what river's cruises originate in aswan, luxor and cairo",nile,,,,,,,,,
100143,who won best actor oscar for stalag 17,william holden,,,,,,,,,
100144,what season is statistically the most hazardous,summer,,,,,,,,,
100145,"who wrote the opera ""fidelio""",ludwig von beethoven,,,,,,,,,
100146,actor richard widmark is the father in law of what famous baseball pitcher,sandy koufax,,,,,,,,,
100147,"in what movie was ""it was beauty that killed the beast"" uttered",king kong,,,,,,,,,
100148,"1992 - whose bucharest concert had 22,000 policemen and security guards",michael jackson's,,,,,,,,,
100149,what language is spoken in 85 percent of international phone calls,english,,,,,,,,,
100150,hawaii: what is the nickname of the island oahu,gathering place,,,,,,,,,
100151,indiana jones: how was the monkey killed,poisoned date,,,,,,,,,
100152,what famous ancient greek writer could not see,homer,,,,,,,,,
100153,name the who's first big hit,my generation,,,,,,,,,
100154,who wrote and performed the theme song from chico & the man,jose feliciano,,,,,,,,,
100155,"who recorded the album ""hi infidelity"" in 1980",reo speedwagon,,,,,,,,,
100156,"what george harrison tune sounded too much like ""he's so fine""",my sweet lord,,,,,,,,,
100157,what's the only nation with a non-rectangular flag,nepal,,,,,,,,,
100158,what island's attractions include dunn's river falls and rose hall,jamaica,,,,,,,,,
100159,what treaty ended the american revolution,treaty of paris,,,,,,,,,
100160,1992 - what country saw the opening of euro disneyland,france,,,,,,,,,
100161,where did 19 year old babe ruth hit his first professional home run,maple leaf park,,,,,,,,,
100162,indiana jones: what's indy's weapon of choice,bullwhip,,,,,,,,,
100163,"who wrote ""the city of god""",saint augustine,,,,,,,,,
100164,springfield is the capital of what state,illinois,,,,,,,,,
100165,what bandleader had the themes satin doll and take the a train,duke ellington,,,,,,,,,
100166,what position did mac davis play in north dallas forty,quarterback,,,,,,,,,
100167,tv: what was the name of archie bunker's grandson,joey stivic,,,,,,,,,
100168,what was the top single record in 1956 by elvis presley,don't be cruel,,,,,,,,,
100169,what popular pastime was introduced in 1863,roller skating,,,,,,,,,
100170,"who did the music for the movie ""when harry met sally""",harry connick jr,,,,,,,,,
100171,what european country's currency is favored in guadeloupe,france,,,,,,,,,
100172,what british tv series featured emma peel,avengers,,,,,,,,,
100173,"music: who recorded the 1959 hit song ""donna""",richie valens,,,,,,,,,
100174,this teen was sentenced to a caning in singapore in 1994,michael fay,,,,,,,,,
100175,what's the roofing material for montreal's olympic stadium,teflon,,,,,,,,,
100176,"what is the state of oklahoma's ""nickname""",sooners,,,,,,,,,
100177,what does a phrenologist feel and interpret,skull features,,,,,,,,,
100178,name the moody blues first lp,lose your money,,,,,,,,,
100179,how many of central america's five highest mountains are in guatemala,five,5,,,,,,,,
100180,who was the first film star depicted on a postage stamp,grace kelly,,,,,,,,,
100181,"what's a more common name for ""wedlock""",marriage,,,,,,,,,
100182,what body of water does the rhone river empty into,mediterranean,,,,,,,,,
100183,wyoming was named after what pennsylvania town,wyoming valley,,,,,,,,,
100184,license plates: what sport does sknydp enjoy,swimming,,,,,,,,,
100185,"what kind of animal is chesty pagett, the marine corp's mascot",bulldog,,,,,,,,,
100186,what comedian performed at caesar's palace on his 97th birthday in 1993,george burns,,,,,,,,,
100187,what name is given to a sentence that reads the same forwards and backwards,a palindrome,,,,,,,,,
100188,what comic strip canine turned 35 in 1985,snoopy,,,,,,,,,
100189,what was the exact date of the start of the russian revolution,"november 7, 1917",,,,,,,,,
100190,"music: for what movie was the song ""white christmas"" written",holiday inn,,,,,,,,,
100191,"music: who is known as ""queen of the gospel singers""",mahalia jackson,,,,,,,,,
100192,what are the two languages of malta,english maltese,,,,,,,,,
100193,what does radar stand for,radio detecting and ranging,,,,,,,,,
100194,what us president was born in new york city,teddy roosevelt,,,,,,,,,
100195,who was the winner of the 1991 kentucky derby,strike the gold,,,,,,,,,
100196,what was flip wilson's california license plate,killer,,,,,,,,,
100197,in what language is the gutenberg bible printed,latin,,,,,,,,,
100198,tres hombres (1973) was recorded by,zz top,,,,,,,,,
100199,where is the fonz's leather jacket today,smithsonian institute,,,,,,,,,
100200,what russian fighter was most encountered in the skies over korea,mig 15,,,,,,,,,
100201,"what baseball player was nicknamed ""stan the man""",stan musial,,,,,,,,,
100202,what device might you use to stem the flow of blood,tourniquet,,,,,,,,,
100203,who won best director for ordinary people,robert redford,,,,,,,,,
100204,what was the name of kellogg's cartoon toaster,milton,,,,,,,,,
100205,"tv's sttng: whom did the borg kidnap in ""best of both worlds""",captain picard,,,,,,,,,
100206,"what 1988 mel gibson movie did usa today call ""easy to swallow""",tequila sunrise,,,,,,,,,
100207,disneyworld: what is the old west section of the park called,frontierland,,,,,,,,,
100208,what is the function of red corpuscles in the blood,transport oxygen,,,,,,,,,
100209,what's the most powerful type of microscope,electron,,,,,,,,,
100210,what duke is the author of the duke of flatbush,duke snider,,,,,,,,,
100211,jefferson city is the capital of what state,missouri,,,,,,,,,
100212,what record did babe ruth break when he hit 60 homers,his own,,,,,,,,,
100213,who wrote the 'pledge of allegiance' to the flag of the united states,francis bellamy,,,,,,,,,
100214,in which war were the most americans killed in,civil war,,,,,,,,,
100215,"in the batman tv series of the '60's, who played the villainess marsha queen of diamonds",carolyn jones,,,,,,,,,
100216,what were the last word uttered on the final episode of 'cheers',sorry we are closed,,,,,,,,,
100217,who was the first african american to play in the american league,larry doby,,,,,,,,,
100218,which country refers to the native people as 'first nation's people',canada,,,,,,,,,
100219,were is pop singer bryan adams from,canada,,,,,,,,,
100220,what physicist is considered the 'father of modern rocketry',robert goddard,,,,,,,,,
100221,what state is harvard located in,massachusetts,,,,,,,,,
100222,who played tarazan in the tv series in the 70's,ron ely,,,,,,,,,
100223,which italian city is the setting for 'romeo and juliet',verona,,,,,,,,,
100224,what pitcher was nicknamed 'oil can',dennis boyd,,,,,,,,,
100225,what is the nickname of the nba superstar shawn kemp,the rainman,,,,,,,,,
100226,what character does snoopy pretend to fight,red baron,,,,,,,,,
100227,what is the b-17 bomber's nickname,flying fortress,,,,,,,,,
100228,what tv show when off the air when it was still #1 in the ratings,i love lucy,,,,,,,,,
100229,who wrote the poem 'the waste land',t s eliot,,,,,,,,,
100230,what is the master gland of the body,pituitary,,,,,,,,,
100231,who wrote 'andromeda strain',michael crichton,,,,,,,,,
100232,where do the atlanta braves play their home games,turner field,,,,,,,,,
100233,who sang 'my prerogative',bobby brown,,,,,,,,,
100234,what pitcher gave up mcgwire's 70th homer,carl pavano,,,,,,,,,
100235,the ingrediants in a kamikaze are:,vodka triple sec lime juice,,,,,,,,,
100236,where can you see kheops pyramid,gizeh,,,,,,,,,
100237,what are the names of the three dimaggio brothers (d v j ),dom vince joe,,,,,,,,,
100238,who made the movie 'a cloclwork orange',stanley kubrick,,,,,,,,,
100239,where did the ricardos move to when they left new york city,connecticut,,,,,,,,,
100240,what is the only food cockroaches wont eat,cucumbers,,,,,,,,,
100241,who was scarlet o'hara's first husband,charles hamilton,,,,,,,,,
100242,who holds the modern day record for most errors by an outfielder,ty cobb,,,,,,,,,
100243,what university has the fightin 'blue hen' as there mascot,university of delaware,,,,,,,,,
100244,which is the largest planet,jupiter,,,,,,,,,
100245,which er doctor was in the 'revenge of the nerds',anthony edwards,,,,,,,,,
100246,who played luke on 'the real mccoys',richard crenna,,,,,,,,,
100247,which sneaker is named after the greek god of victory,nike,,,,,,,,,
100248,who is the front man for 'nine inch nails',trent reznor,,,,,,,,,
100249,bruce lee died when making which move,the game of death,,,,,,,,,
100250,what is l'il abner's son named,honest abe,,,,,,,,,
100251,who played billy the kid in the move 'young guns',emilio estevez,,,,,,,,,
100252,what is the capital of yemen,sanaa,,,,,,,,,
100253,what was the first us sitcom to be exported to britain,i love lucy,,,,,,,,,
100254,"""contact"", starring jodie foster, was written by",carl sagan,,,,,,,,,
100255,"0, 1, 1, 2, 3, 5, 8, 13à is call a _______ series",fibonacci,,,,,,,,,
100256,a baby born legs first is called a ____ delivery,breech,,,,,,,,,
100257,a common name for the pancreas is,sweetbread,,,,,,,,,
100258,a cowboy's hat is also known as,a stetson,,,,,,,,,
100259,a kangaroo's young is called,joey,,,,,,,,,
100260,a one humped camel is called a ____,dromedary,,,,,,,,,
100261,a pharmacological cure all is called a ____,panacea,,,,,,,,,
100262,a potent alcoholic drink from aniseed,ouzo,,,,,,,,,
100263,a tornado at sea is called a ___,waterspout,,,,,,,,,
100264,ability to move objects with mind power,telekinesis,,,,,,,,,
100265,acknowledged to be the greek god of medicine,asclepius,,,,,,,,,
100266,agana is the capital of which country,guam,,,,,,,,,
100267,"an abscess filled with pus is not ""pussy"" but ____",purulent,,,,,,,,,
100268,another word for vaccination,immunization,,,,,,,,,
100269,architect of the labyrinth of knossos in crete,daedalus,,,,,,,,,
100270,"around the perimeter of rome, a 250km labyrinth serves as a graveyard for the early christians is known as the",catacombs,,,,,,,,,
100271,australia's oldest university,sydney university,,,,,,,,,
100272,author of gulliver's travels,jonathan swift,,,,,,,,,
100273,"author of such children books as the enchanted wood, famous five",enid blyton,,,,,,,,,
100274,"author of such fairy tales: the frog prince, hansel & gretel",grimm brothers,brothers grimm,,,,,,,,
100275,baron pierre de coubertin is the founding father of the modern,olympics,,,,,,,,,
100276,british department of state in charge of revenue,exchequer,,,,,,,,,
100277,builder of the great wall and first emperor of china,shih huang ti,,,,,,,,,
100278,capital of boliva,la paz,,,,,,,,,
100279,capital of brunei,bandar seri begawan,,,,,,,,,
100280,capital of el salvador,san salvador,,,,,,,,,
100281,capital of iceland,reykjavik,,,,,,,,,
100282,capital of montserrat,plymouth,,,,,,,,,
100283,"cave dwellers in the loire valley, in france, are called",troglodytes,,,,,,,,,
100284,celtic mythology: trjstan's lover,isolde,,,,,,,,,
100285,chinese mythology: the monkey god was captured in,buddha's palm,,,,,,,,,
100286,composer of the blue danube,johann strauss ii,,,,,,,,,
100287,"comprising of 9 member countries, with cambodia poised to join as its tenth member is this grouping",asean,,,,,,,,,
100288,digitalis came from which herb,purple foxglove,,,,,,,,,
100289,discoverer of antiseptic,joseph lister,,,,,,,,,
100290,discoverer of the circulation of the body,william harvey,,,,,,,,,
100291,discoverer of the planet of pluto,james christy,,,,,,,,,
100292,donald duck's middle name as he enlisted in the us army,fauntleroy,,,,,,,,,
100293,elementary particle found in all nuclei except that of hydrogen,neutron,,,,,,,,,
100294,epinephrine is also known as,adrenaline,,,,,,,,,
100295,fastest bird (self flight),swift,,,,,,,,,
100296,father of modern neurology & neurosurgery,cushing,,,,,,,,,
100297,ferry man of the styx,charon,,,,,,,,,
100298,first name of the famous lord nelson of trafalgar,horatio,,,,,,,,,
100299,flying at the speed of sound is also known as,mach one,,,,,,,,,
100300,god of dreams and nephew of hades,morpheus,,,,,,,,,
100301,goddesses of fate (in alphabetical order),atropos clotho lachesis,,,,,,,,,
100302,harappa & mohenjodaro were 2 great cities in the,indus valley,,,,,,,,,
100303,"he was the german nobel prize winner of 1918, inventor of the method of ammonia processing, and attempted to extract gold from sea water",haber,,,,,,,,,
100304,heaviest substance known,osmium,,,,,,,,,
100305,"hela cells, immortal cancer cells, came from this woman",henrietta lacks,,,,,,,,,
100306,helioseismology is the study of the interior of,the sun,sun,,,,,,,,
100307,her face launched a thousand ships,helen of troy,,,,,,,,,
100308,hitler's title as supreme leader of nazi germany,fuhrer,,,,,,,,,
100309,how many capitals does south africa possess,three,3,,,,,,,,
100310,how many extra points for a 7 letter play in scrabble,fifty,50,,,,,,,,
100311,how many keys on a piano,eighty eight,88,,,,,,,,
100312,how many lobes does the brain possess,four,4,,,,,,,,
100313,how many points is the letter k worth in scrabble,five,5,,,,,,,,
100314,how many stomachs does a cow possess,four,4,,,,,,,,
100315,hyperemesis gravidarum is colloquially known as,vomiting of pregnancy,,,,,,,,,
100316,"in any group of 23 people, there's a 50% chance that two of them share the same",birthday,,,,,,,,,
100317,"in saving private ryan, what was tom hanks' rank",captain,,,,,,,,,
100318,"in the 1970s, the who declared this disease eliminated",smallpox,,,,,,,,,
100319,"in the bible, which chapter immediately follows 1st timothy",2nd timothy,,,,,,,,,
100320,"in the odyssey, who was placed opposite the monster scylla",charybdis,,,,,,,,,
100321,"in the retina, color sensing cells are called",cones,,,,,,,,,
100322,indian mythology: creator of the universe,brahma,,,,,,,,,
100323,international airport of malaysia,klia,,,,,,,,,
100324,international airport of the netherlands,schiphol,,,,,,,,,
100325,inventor of the air-conditioning unit,william carrier,,,,,,,,,
100326,inventor of the barometer,torricelli,,,,,,,,,
100327,inventor of the battery,volta,,,,,,,,,
100328,inventor of the denim jeans,levi strauss,,,,,,,,,
100329,inventor of the dynamo,michael faraday,,,,,,,,,
100330,inventor of the first automatic machine gun,richard gatling,,,,,,,,,
100331,inventor of the kodak camera,george eastman,,,,,,,,,
100332,inventor of the method of coordinate geometry,descartes,,,,,,,,,
100333,inventor of the microscope,zacharias janssen,,,,,,,,,
100334,inventor of the telescope(full name),galileo galilei,,,,,,,,,
100335,inventor of the television,baird,,,,,,,,,
100336,"inventor of x-ray, and first physics nobel prize winner",roentgen,,,,,,,,,
100337,lack of blood is called,anemia,,,,,,,,,
100338,largest flower in the world,rafflesia,,,,,,,,,
100339,largest moon of jupiter and cupbearer to zeus,ganymede,,,,,,,,,
100340,laughing gas and dental anesthetic is also known as,nitrous oxide,,,,,,,,,
100341,legendary city of gold in south america,el dorado,,,,,,,,,
100342,lightest inflammable gas known,hydrogen,,,,,,,,,
100343,longest river in the southern hemisphere,answer amazon,,,,,,,,,
100344,malaria is transmitted by the female ____ mosquito,anopheles,,,,,,,,,
100345,"mnemosyne, mother of the muses, was the goddess of",memory,,,,,,,,,
100346,"movie with the highest box office gross, adjusted for inflation",gone with the wind,,,,,,,,,
100347,"much of the current we use today is in acdc form, its popularity and practicality was attributed to this person",tesla,,,,,,,,,
100348,name of scale used to judge the brightness of stars,hertzprung-russel diagram,,,,,,,,,
100349,"natural formations that are reminiscent of something else, such as camel rock in new mexico, are known as",simulacra,,,,,,,,,
100350,nephew and companion of hercules on hercules' 12 labors,iolaus,,,,,,,,,
100351,newcastle residents are called,novocastrians,,,,,,,,,
100352,newton's tome on the explanation of physical laws is the,principia mathematica,,,,,,,,,
100353,norse mythology: father of thor,odin,,,,,,,,,
100354,norse mythology: god of mischief and brother of thor,loki,,,,,,,,,
100355,norse mythology: place where norse gods resided,asgard,,,,,,,,,
100356,norse mythology: queen of the norse gods and odin's wife,freya,,,,,,,,,
100357,norse mythology: what killed baldur,mistletoe,,,,,,,,,
100358,norse mythology: winged creatures that carried the dead to valhalla,valkyries,,,,,,,,,
100359,nylon was invented simultaneously at these two cities,new york london,,,,,,,,,
100360,onycholysis refers to the destruction of the _____,fingernail,,,,,,,,,
100361,"originally a french word meaning ""twittering of birds""",jargon,,,,,,,,,
100362,ototalgia refers to,ear ache,,,,,,,,,
100363,polish & german jews are known as,ashkenazi jews,,,,,,,,,
100364,present lucasian professor of mathematics and author of a brief history of time,stephen hawkings,,,,,,,,,
100365,prometheus' brother and pandora's husband,epimetheus,,,,,,,,,
100366,radar is an example of a _____ word,palindromic,,,,,,,,,
100367,"radioactive carbon, used for dating fossils",carbon 14,,,,,,,,,
100368,roman numeral lxxii is equivalent to,seventy two,72,,,,,,,,
100369,ruler of the ussr during the second world war,josef stalin,,,,,,,,,
100370,sephardim jews are jews from which two countries,spain portugal,,,,,,,,,
100371,september's birthstone,sapphire,,,,,,,,,
100372,"she monster with a lion's head, goat's body & serpent's tail",chimera,,,,,,,,,
100373,sixtieth anniversary is the ____ anniversary,diamond,,,,,,,,,
100374,slowest flying bird,american woodcock,,,,,,,,,
100375,"something smaller than an electron, with 1/3 of its charge",quark,,,,,,,,,
100376,"son of laius, and later, killed his father to marry his mother",oedipus,,,,,,,,,
100377,sonar is also known by its british name of,asdic,,,,,,,,,
100378,sperm whale vomit & vital ingredient in many old perfumes,ambergris,,,,,,,,,
100379,"starr-edwards, carpentier, ball-cage are types of",heart valves,,,,,,,,,
100380,sttng: alcohol that's reproduced by the replicator,synthehol,,,,,,,,,
100381,sttng: capt picard's favorite alter-ego in the holodeck,dixon hill,,,,,,,,,
100382,sttng: cardassians fought a long war with these people,bajorans,,,,,,,,,
100383,sttng: the enterprise-e belongs to which class of ship,sovereign,,,,,,,,,
100384,sttng: the federation's greatest battle with the borgs took place at which star system,wolf 359,,,,,,,,,
100385,sttng: whoopi goldberg played this bartender,guinan,,,,,,,,,
100386,sttos: capt james kirk had a son named,david marcus,,,,,,,,,
100387,sttos: captain of the uss excelsior and previous helm officer of the enterprise-a,hikaru sulu,,,,,,,,,
100388,sttos: father of vulcan civilization and hero of spock,surak,,,,,,,,,
100389,"sttos: which actor portrayed mr spock, and later wrote and directed the critically acclaimed star trek iv",leonard nimoy,,,,,,,,,
100390,the (extinct) tasmanian tiger is formally known as,thylacine,,,,,,,,,
100391,"the ""sister"" to the weather phenomenon known as el nino",la nina,,,,,,,,,
100392,the biggest selling album of all time,thriller,,,,,,,,,
100393,the black jews of ethiopia are known as,falasha,,,,,,,,,
100394,the brothers of zeus,hades poisedon,,,,,,,,,
100395,the centigrade scale is also known as the _____ scale,celsius,,,,,,,,,
100396,the chinese almanac is also called the _____,i ching,,,,,,,,,
100397,"the christian calendar, which we use today, was invented by",exiguus,,,,,,,,,
100398,the deepest ocean trench in the world,marianas,,,,,,,,,
100399,the desert fox was,erwin rommel,,,,,,,,,
100400,"the diagrammatic representation of subway maps, circuit boards and many other complicated networks is called",topology,,,,,,,,,
100401,"the famous last theorem, an = bn = cn, n=2, belonged to",pierre de fermat,,,,,,,,,
100402,the first book in the bible after the gospels,acts of the apostles,,,,,,,,,
100403,the first five books of the bible are known as,torah (pentauch),,,,,,,,,
100404,the first person to have calculated the value of pi,archimedes,,,,,,,,,
100405,the first projection map of the world was by,mercator,,,,,,,,,
100406,"the generally acknowledged oldest ""city"" in the world",jericho,,,,,,,,,
100407,the greatest tank battle of the second world war took place at,kursk,,,,,,,,,
100408,the greatest violin virtuoso of all time was,paganini,,,,,,,,,
100409,the initial milk that's expressed from a new mother,colostrum,,,,,,,,,
